formula,target
Na0.397235 Al0.04024437 P0.08672474 O0.4757959,0
Ge0.23847325 Pb0.14229012 O0.61923663,1
Sr0.02718419 Sn0.01094073 B0.36512377 O0.59675131,1
Si0.04851026 Mo0.1417479 P0.08213646 O0.72760538,0
Nb0.1023392 Ge0.17331211 Pb0.06093824 O0.66341045,0
K0.08376113 Si0.16446234 B0.15238852 O0.59938802,1
Ti0.02180271 Ge0.30632962 Pb0.0078015 O0.66406617,1
Sr0.04968009 Si0.10294227 B0.2367252 O0.61065244,1
Nb0.06875098 Ga0.14409037 Pb0.19957283 O0.58758583,0
Nb0.01591983 Si0.14085699 P0.14905989 O0.69416329,1
Cd0.17171104 Si0.08846738 B0.15647032 O0.58335127,1
La0.06405553 Ta0.03566624 Ge0.23834311 O0.66193512,1
Fe0.13399665 B0.20217627 Pb0.07978385 O0.58404323,0
K0.06816374 Al0.05709937 B0.30200238 O0.5727345,1
Be0.2622162 P0.10035448 W0.03108173 O0.60634759,0
Zn0.19739813 B0.24208149 O0.56052037,0
Be0.14468869 B0.27751934 Pb0.00841214 O0.56937983,0
V0.17155156 Ag0.09243284 Mo0.06523007 O0.67078553,1
Ge0.08272908 Pb0.31550105 Cl0.24162133 O0.36014854,1
Ti0.07449699 B0.27376888 Pb0.04604341 O0.60569072,1
Cd0.24737867 Ga0.1245614 Bi0.07753567 O0.55052427,1
Ba0.01612087 Li0.37737103 Si0.13390057 O0.47260753,1
Ca0.20098365 Ta0.00072872 Ge0.19849406 O0.59979357,1
Ag0.30084364 P0.14493259 I0.08294092 O0.47128285,1
Ba0.03246784 La0.01796112 B0.35606461 O0.59350643,0
Ga0.0412766 Ge0.10022614 P0.15263291 O0.58203456 F0.12382979,0
Rb0.10281503 Ti0.07368749 Ge0.20823832 O0.61525915,1
Ba0.17758011 Si0.11328966 Pb0.1524854 O0.55664483,0
Nd0.03608283 Al0.09660053 Si0.22276386 O0.64455277,1
Ba0.2178579 Ti0.05993729 Ga0.15378893 O0.56841588,0
Bi0.05669373 B0.34330627 O0.6,1
Ba0.02170471 Zn0.1382269 Si0.22671226 O0.61335613,1
Ge0.29395858 Pb0.05906213 O0.64697929,1
Sn0.08733899 B0.1134391 P0.12982436 O0.66939754,1
Al0.07644718 B0.22277683 Pb0.12596998 O0.574806,1
Na0.08237738 Y0.00765838 Si0.28576266 O0.62420158,1
Li0.53202012 P0.04310644 W0.01277431 O0.41209912,0
Na0.10695123 Al0.06638843 B0.24805058 O0.47165853 F0.10695123,0
Ti0.18281748 Tl0.06952903 Ge0.11575134 O0.63190215,1
La0.01061362 Zn0.16344555 Ge0.21552495 O0.61041588,0
Ca0.17025476 Ga0.03465671 Ge0.19094957 O0.60413896,1
Cd0.09636301 B0.32290959 O0.5807274,1
Ca0.35020696 Ga0.05124041 B0.06859403 O0.52995861,0
La0.01937718 Bi0.02270125 B0.35792157 O0.6,1
Al0.09384207 Cd0.0957747 B0.22953817 O0.58084506,1
Sr0.16907172 B0.24846307 Mo0.01017472 O0.57229049,1
Ba0.1167679 Mg0.11702676 Ge0.0842278 B0.0650802 O0.38284381 F0.23405352,1
Na0.3995389 Ga0.04308841 B0.11718825 O0.44018444,0
Ca0.13831394 Fe0.26497456 Bi0.02437429 O0.57233721,1
Ba0.0408826 Na0.32363936 P0.12365022 O0.51182782,1
Cd0.1185226 Si0.25431827 O0.62715913,0
Ba0.01945317 Ge0.24953188 Bi0.0849992 O0.64601574,0
Ba0.07910264 Ga0.12830336 Si0.17367877 O0.61891523,1
Cs0.04138445 Ti0.08624721 Ge0.2263939 O0.64597444,1
Mn0.05139493 V0.1475722 B0.15228297 O0.64874989,1
K0.25549369 Ga0.12802595 Ge0.09889819 O0.51758216,1
Zn0.13259763 Si0.20811743 Pb0.05522623 O0.60405871,1
K0.01843189 Be0.37414191 Si0.07468945 O0.53273675,0
