formula,target
Ba0.07406502 Al0.1246639 B0.21608409 O0.585187,1
Ca0.11626652 B0.30698678 O0.5767467,0
Ca0.0212766 La0.04382979 B0.33914894 O0.59574468,0
La0.04426788 Cd0.13961407 B0.24404086 O0.57207719,0
Sr0.25517241 B0.14646962 Br0.24696223 O0.35139573,1
Mg0.03179994 Cd0.14942884 B0.25501698 O0.56375425,0
Al0.03083043 Zn0.0810542 B0.30432621 O0.58378916,1
Li0.04816754 La0.04565445 B0.32544503 O0.58073298,1
Li0.16910331 Th0.02461014 B0.26900585 O0.5372807,1
Al0.08622101 Zn0.12141883 B0.21664393 O0.57571623,1
Ba0.03236797 La0.23551959 B0.12563884 O0.54173765 F0.06473595,0
K0.14791311 Sr0.02416402 B0.29192092 O0.53600195,1
Nd0.09117714 Zn0.04468133 B0.2730778 O0.59106373,1
Ca0.04787994 Ti0.02429728 B0.3325393 O0.59528347,1
Ca0.24436742 Al0.03119584 B0.17331023 O0.55112652,1
Ca0.04545455 Zn0.08314856 B0.29711752 O0.57427938,1
K0.21805792 Bi0.02433682 B0.24482843 O0.51277683,0
Er0.0976 Al0.0796 B0.2228 O0.6,0
K0.04229935 Li0.31344902 B0.18655098 O0.45770065,1
B0.370502 Pb0.0368725 O0.5926255,0
Ca0.00208768 Cd0.16164629 B0.26901282 O0.56725321,0
Ca0.05437275 Zn0.15820504 B0.22993777 O0.55748444,1
K0.12573386 Zr0.04867906 B0.26614481 O0.55944227,1
Bi0.26 B0.14 O0.6,1
Zn0.2589125 Co0.00792222 B0.18653223 O0.54663306,0
K0.40543667 B0.09196067 Mo0.04048583 O0.46211683,0
Rb0.25439037 B0.24736578 O0.49824385,0
Ba0.14346956 Al0.14575593 B0.13946842 O0.57130609,0
La0.18747725 Ta0.08991627 B0.08663997 O0.63596651,0
Ca0.06050013 Cd0.05431568 B0.30814735 O0.57703684,0
Al0.01092354 Zn0.08043694 B0.32472691 O0.58391261,0
Ba0.00071599 Ge0.09498807 B0.28544153 O0.61885442,1
La0.09794989 Zn0.14123007 B0.18906606 O0.57175399,1
Ba0.05958549 Al0.09561941 B0.2567122 O0.5880829,1
La0.14371946 Cd0.14573153 B0.13969531 O0.57085369,0
La0.1492 Y0.0988 B0.152 O0.6,0
Cd0.13184211 B0.21052632 Pb0.02605263 O0.31578947 F0.31578947,0
Bi0.1002455 B0.26309329 W0.02291326 O0.61374795,1
V0.19789675 Cd0.13097514 B0.01816444 O0.65296367,1
Ti0.04442509 Bi0.24216028 B0.10452962 O0.60888502,0
Cd0.11215961 B0.29172284 W0.01159342 O0.58452413,1
K0.16994453 Ca0.03025719 B0.27382753 O0.52597075,0
Mg0.11261521 Cd0.03456221 B0.28225806 O0.57056452,0
Ge0.243605 B0.107674 O0.648721,1
Ti0.02254197 B0.33189448 Pb0.05131894 O0.5942446,1
Ba0.06347305 V0.19241517 B0.07984032 O0.66427146,1
Ba0.01053284 La0.10285006 B0.28872367 O0.59789343,0
Si0.25 Ge0.03125 B0.0625 O0.65625,0
Ba0.06633396 V0.15928467 B0.12393429 O0.65044708,1
La0.06115445 B0.18907956 Pb0.18720749 O0.5625585,1
Cd0.0984456 B0.32124352 O0.58031088,0
K0.17147352 Ca0.04693235 B0.25957001 O0.52202412,0
Ca0.25166725 Ga0.13197613 B0.06669007 O0.54966655,1
K0.02082483 Bi0.06124949 B0.32625561 O0.59167007,1
Be0.15047319 B0.24605678 Pb0.04195584 O0.5615142,0
Zn0.01830956 B0.37002342 Mo0.00958058 O0.60208644,0
B0.36629872 Pb0.04212661 O0.59157468,0
Ti0.04412371 B0.08742268 Pb0.32453608 O0.54391753,0
B0.21848739 Pb0.22689076 O0.55462185,1
Sr0.08762441 Mg0.12851579 Al0.00043271 B0.17524881 O0.35114669 F0.25703159,1
Ca0.03071389 Be0.0971223 B0.29773105 O0.57443276,0
Li0.05770126 Mn0.03559795 B0.33690088 O0.56979991,1
Ca0.14408479 Al0.02291607 B0.2618161 O0.57118304,1
Tl0.00733317 Cd0.07162063 B0.33830359 O0.58274261,0
La0.076 B0.324 O0.6,1
Ba0.06197323 Ti0.02677243 B0.3182945 O0.59295984,1
Y0.0416 Al0.1196 B0.2388 O0.6,0
V0.23381405 Cd0.00030684 B0.07241485 O0.69346425,1
Li0.11706881 Ga0.13226095 B0.19749777 O0.55317248,0
K0.04320988 Ti0.12139918 B0.22839506 O0.60699588,0
Nd0.12363409 Zn0.18701218 B0.12675617 O0.56259756,0
Ca0.10065721 Ge0.21376686 B0.062954 O0.62262193,1
Li0.0724234 Al0.10970645 B0.24683951 O0.57103064,0
Cd0.0991178 B0.32070576 O0.58017644,0
Ca0.06277129 Be0.16093489 B0.22103506 O0.55525876,1
Tl0.46611668 B0.11844431 Pb0.0023571 O0.41308191,0
Sm0.084 Ga0.1596 B0.1564 O0.6,0
Cd0.17187026 B0.26250379 O0.56562595,0
Bi0.0952 B0.3048 O0.6,1
Li0.25620767 Si0.07731377 B0.15349887 O0.51297968,1
Sm0.1024 Ga0.1412 B0.1564 O0.6,1
Tl0.01375943 Cd0.03195739 B0.36617843 O0.58810475,0
Cd0.16265452 Ge0.06929083 B0.18672739 O0.58132726,1
Er0.042 Al0.1584 B0.1996 O0.6,0
K0.10193322 V0.22319859 B0.02636204 O0.64850615,1
Co0.10574895 Bi0.06698312 B0.24841772 O0.57885021,0
Ba0.20483871 Bi0.18 B0.05612903 O0.55903226,0
K0.22358247 Ti0.19362113 B0.03350515 O0.54929124,0
La0.24024641 B0.08418891 Pb0.09445585 O0.58110883,0
Ge0.10488627 B0.03454086 Pb0.29949452 O0.56107835,0
Sr0.1884784 Ga0.07263619 B0.17658109 O0.56230432,1
Cd0.05390335 Ga0.16403346 B0.19284387 O0.58921933,0
Ba0.12311902 Bi0.05526676 B0.24623803 O0.5753762,1
Ba0.0648663 Ti0.06460154 B0.27058512 O0.59994705,0
Ti0.06200608 B0.22006079 Pb0.13191489 O0.58601824,1
Er0.0988 Al0.1224 B0.1788 O0.6,1
B0.4 O0.6,1
V0.2428831 Bi0.05844942 B0.00151423 O0.69715324,1
B0.20546524 Pb0.24316845 O0.55136631,1
Ba0.11926092 Ca0.01399776 B0.29339306 O0.57334826,1
Ca0.05941995 B0.35133223 Mo0.00070738 O0.58854044,1
Ba0.2175805 Ge0.08790252 B0.08572672 O0.43516101 F0.17362924,0
La0.19465555 Cd0.07526354 B0.14513361 O0.58494729,1
K0.00039976 Bi0.01878873 B0.38097142 O0.5998401,0
Ba0.03296703 B0.37362637 O0.59340659,0
Cd0.08043694 Ga0.17825223 B0.15739821 O0.58391261,0
B0.17969321 Pb0.27538349 O0.5449233,1
K0.15579976 Mg0.02173382 B0.28913309 O0.53333333,0
V0.25944218 Fe0.01685067 P0.01423591 O0.70947124,0
Zr0.01924975 B0.32477789 Pb0.06515301 O0.59081935,1
Sn0.15679077 B0.05138962 P0.15941269 O0.63240692,1
Li0.02433503 Mn0.13016412 B0.28126769 O0.56423316,1
Ca0.06077087 B0.35138331 O0.58784583,0
Ca0.0017673 Cd0.15581738 B0.27393225 O0.56848306,0
Mg0.12937257 B0.29650194 O0.57412549,0
La0.11552347 Ti0.00140393 B0.28279182 O0.60028079,0
La0.1464 Y0.0456 B0.208 O0.6,0
Mg0.0207556 B0.35541045 Pb0.03498134 O0.58885261,1
La0.0839122 Zn0.12975827 B0.21228119 O0.57404835,1
Ba0.07912146 Ti0.04286848 B0.28526065 O0.5927494,1
B0.27301927 Pb0.10358672 W0.02756959 O0.59582441,1
Sr0.11111111 Mg0.07407407 B0.22222222 O0.44444444 F0.14814815,1
Cd0.07727975 B0.15146832 Pb0.23338485 O0.53786708,1
Cd0.03493601 B0.20546524 Pb0.20823245 O0.55136631,1
Mg0.10875332 Ga0.15384615 B0.15915119 O0.57824934,0
Ti0.01256898 Cd0.16922134 B0.24954016 O0.56866953,1
Sr0.02364672 Ge0.17606838 B0.16980057 O0.63048433,1
Ge0.04254423 B0.07666386 Pb0.34035383 O0.54043808,0
Mn0.12366328 B0.30106937 O0.57526734,1
La0.12786746 Ti0.03101105 B0.23491929 O0.60620221,0
Ba0.06205633 Ta0.04121823 B0.29264942 O0.60407602,0
Li0.17924528 Al0.11698113 B0.1754717 O0.52830189,0
Ca0.10700132 B0.31439894 O0.57859974,1
Zn0.14723518 Cd0.07461692 B0.22251832 O0.55562958,1
Ba0.12357528 Ti0.0644871 B0.22375525 O0.58818236,0
Ca0.16040956 Ti0.0350605 B0.22959975 O0.57493019,1
K0.15272727 Ti0.07298701 B0.22077922 O0.55350649,0
V0.10615133 Cd0.15568862 B0.12683723 O0.61132281,1
Cu0.1207975 B0.14542611 Pb0.19741986 O0.53635653,0
Ti0.044085 Cd0.16587377 B0.21439899 O0.57564225,1
Ca0.07921811 Ge0.02417695 B0.30761317 O0.58899177,1
La0.09605735 Ti0.09677419 B0.18781362 O0.61935484,1
Li0.14970282 V0.22102526 B0.00074294 O0.62852897,1
Sm0.0824 Al0.0996 B0.218 O0.6,1
Cd0.18266254 B0.25386997 O0.56346749,0
Li0.32068791 V0.05614568 B0.12898331 O0.49418311,0
Li0.17578947 B0.07052632 Mo0.14 O0.61368421,0
Sm0.0612 Al0.1008 B0.238 O0.6,1
B0.4 O0.6,1
La0.17678334 Cd0.03588835 B0.19450598 O0.59282233,1
Ca0.04604716 Cd0.08294036 B0.29680999 O0.5742025,1
B0.29865683 Pb0.1140374 O0.53673953 F0.05056624,1
Li0.05845105 Mn0.05309303 B0.32245494 O0.56600097,1
K0.06350013 Ba0.06883414 B0.30683261 O0.56083312,1
Li0.32060217 B0.09032618 Mo0.07332032 O0.51575132,0
Ca0.02439664 Cd0.07948583 B0.31689402 O0.5792235,1
B0.12617114 Pb0.24921924 O0.25234229 F0.37226733,1
K0.18612863 Zn0.02496847 B0.26834805 O0.52055485,0
Sr0.12403952 Bi0.02689352 B0.27387486 O0.5751921,0
K0.04801601 B0.20606869 Pb0.20640213 O0.53951317,0
B0.36971047 Pb0.03786192 O0.59242762,0
V0.16149395 Cd0.15886376 B0.04681746 O0.63282483,1
V0.19498037 Cd0.01621991 B0.11405156 O0.67474816,1
Ca0.05875441 Al0.17743831 Si0.14629847 O0.61750881,1
K0.08506944 Bi0.02170139 B0.32725694 O0.56597222,1
Y0.0508 Al0.15 B0.1992 O0.6,0
Co0.04545455 B0.36363636 O0.59090909,1
Ba0.04519646 In0.0431524 B0.32069044 O0.59096071,0
Th0.08765743 B0.1581864 W0.08539043 O0.66876574,0
Ba0.06748781 Li0.0805748 B0.29766487 O0.55427252,1
Zn0.12683578 Cd0.09612817 B0.22162884 O0.55540721,1
